Altium Designer Pick and Place Locations
D:\Work\Outsource\Mash-Unit\MU-RK3576J-MB\MU-RK3576J-MB\Project\Project Outputs for WM620-FA\Pick Place for MU-RK3576J-MB(MU-RK3576J-MB_MEDIAPLAYER).txt

========================================================================================================================
File Design Information:

Date:       18.06.26
Time:       00:38
Revision:   565ab68ce903e9d283ca9fb6306d9a29e483809e
Variant:    MU-RK3576J-MB_MEDIAPLAYER
Units used: mm

Designator Comment                  Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                          
VD28       ESD5451N                 TopLayer    DFN_1006_2              104.0518     12.5790      90       "Bidirectional TVS Diode 5V"                                                                         
VD27       ESD5451N                 TopLayer    DFN_1006_2              103.0207     12.5791      90       "Bidirectional TVS Diode 5V"                                                                         
VD26       ESD5451N                 TopLayer    DFN_1006_2              102.0446     12.5855      90       "Bidirectional TVS Diode 5V"                                                                         
VD25       ESD5451N                 TopLayer    DFN_1006_2              101.0369     12.5709      90       "Bidirectional TVS Diode 5V"                                                                         
VD22       B5819WS                  TopLayer    B5819WS                 112.9233     18.5024      180      ""                                                                                                   
VD21       ESD5311N                 BottomLayer ESD5311N                39.2989      14.6522      180      "1-Line, Bi-directional, Transient Voltage Suppressors.0.25pF."                                      
VD20       ESD5311N                 BottomLayer ESD5311N                37.8194      14.6624      0        "1-Line, Bi-directional, Transient Voltage Suppressors.0.25pF."                                      
VD19       ESD5311N                 BottomLayer ESD5311N                43.8107      14.7326      180      "1-Line, Bi-directional, Transient Voltage Suppressors.0.25pF."                                      
VD18       ESD5311N                 BottomLayer ESD5311N                45.3084      14.7195      0        "1-Line, Bi-directional, Transient Voltage Suppressors.0.25pF."                                      
VD17       ESD5451N                 BottomLayer DFN_1006_2              61.6999      12.6431      270      "Bidirectional TVS Diode 5V"                                                                         
VD16       ESD5451N                 BottomLayer DFN_1006_2              60.6001      12.6433      270      "Bidirectional TVS Diode 5V"                                                                         
VD15       ESD5451N                 BottomLayer DFN_1006_2              59.5000      12.6436      270      "Bidirectional TVS Diode 5V"                                                                         
VD14       ESD5451N                 BottomLayer DFN_1006_2              57.3000      12.6582      270      "Bidirectional TVS Diode 5V"                                                                         
VD13       ESD5451N                 BottomLayer DFN_1006_2              55.1000      12.6436      270      "Bidirectional TVS Diode 5V"                                                                         
VD12       ESD5451N                 BottomLayer DFN_1006_2              54.0000      12.6582      270      "Bidirectional TVS Diode 5V"                                                                         
